symbol,source,interval,period_start,period_end,exit_mode,keep_fixed_tp,confidence,cost_profile,trades,win_rate_net,profit_factor_net,total_net_pnl,final_balance,max_drawdown_pct,avg_trade_net,fees_paid,spread_slippage_cost_estimate,funding_paid,long_trades,short_trades,long_net_pnl,short_net_pnl,tp_count,sl_count,trailing_count,timeout_count,trailing_activated_count,verdict,report_json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.51,zero_cost,3784,39.904862579281186,1.0346604602688618,33.46913159999926,1033.4691315999992,4.212895343863501,0.008844907928118198,0.0,0.0,0.0,2261,1523,25.46493379999949,8.004197799999769,910,1967,0,907,0,WEAK,reports_json/btcusdt_full_fixed_conf051_zero_cost.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2024-12-31T23:55:00+00:00,fixed,False,0.51,zero_cost,1881,42.05209994683679,1.1713606625832016,68.61783019999977,1068.6178301999998,1.0885010260553207,0.036479441892610195,0.0,0.0,0.0,1136,745,43.355222599999806,25.262607599999967,515,963,0,403,0,PASS_CANDIDATE,reports_json/btcusdt_slice_2024_fixed_conf051_zero_cost.json
BTCUSDT,bybit,5m,2025-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,fixed,False,0.51,zero_cost,1321,38.90991672975019,0.9510239985757637,-20.337523800000362,979.6624761999997,3.363832911846856,-0.015395551703255383,0.0,0.0,0.0,783,538,-14.362017800000176,-5.975506000000183,265,674,0,382,0,FAIL,reports_json/btcusdt_slice_2025_fixed_conf051_zero_cost.json
BTCUSDT,bybit,5m,2026-01-01T00:00:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.51,zero_cost,580,35.3448275862069,0.9053663517344661,-14.124836000000155,985.8751639999998,2.038447260000021,-0.024353165517241645,0.0,0.0,0.0,342,238,-3.5282710000001383,-10.596565000000016,130,329,0,121,0,FAIL,reports_json/btcusdt_slice_2026_ytd_fixed_conf051_zero_cost.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.51,realistic_taker,3818,35.227867993713986,0.6355481213839701,-463.8219415444122,536.1780584555878,47.49644798033499,-0.12148296006925412,326.3250363679787,177.99547802738581,0.0,2281,1537,-271.73527505296533,-192.0866664914469,874,2067,0,877,0,FAIL,reports_json/btcusdt_full_fixed_conf051_realistic_taker.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2024-12-31T23:55:00+00:00,fixed,False,0.51,realistic_taker,1896,37.39451476793249,0.7335270876533844,-139.7780936036632,860.2219063963369,15.725007113196657,-0.07372262320868311,136.89697225987683,74.67108223920299,0.0,1147,749,-81.61018593852998,-58.16790766513322,496,1010,0,390,0,FAIL,reports_json/btcusdt_slice_2024_fixed_conf051_realistic_taker.json
BTCUSDT,bybit,5m,2025-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,fixed,False,0.51,realistic_taker,1335,34.00749063670412,0.5675210717112807,-238.39861172738037,761.6013882726196,23.85698799081576,-0.17857573912163324,142.36597875033314,77.65416857338396,0.0,790,545,-145.99183587571102,-92.40677585166937,252,713,0,370,0,FAIL,reports_json/btcusdt_slice_2025_fixed_conf051_realistic_taker.json
BTCUSDT,bybit,5m,2026-01-01T00:00:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.51,realistic_taker,585,31.11111111111111,0.5677812358891814,-84.66870160552162,915.3312983944784,8.496184261141774,-0.1447328232573019,46.85600583272023,25.55782026036038,0.0,344,241,-44.13325323872432,-40.5354483667973,126,343,0,116,0,FAIL,reports_json/btcusdt_slice_2026_ytd_fixed_conf051_realistic_taker.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.51,stress,3911,31.424188187164408,0.4935576742093252,-740.3165602245397,259.68343977546033,74.39238792955722,-0.18929086172961893,334.16010459505526,455.67289775532976,0.0,2327,1584,-433.57194166495776,-306.74461855958197,827,2236,0,848,0,FAIL,reports_json/btcusdt_full_fixed_conf051_stress.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2024-12-31T23:55:00+00:00,fixed,False,0.51,stress,1954,33.72569089048106,0.5649539610191349,-264.84850042612504,735.151499573875,27.477994519026964,-0.13554170953230554,141.0419679560408,192.32999484813257,0.0,1175,779,-154.78699125094434,-110.06150917518072,467,1106,0,381,0,FAIL,reports_json/btcusdt_slice_2024_fixed_conf051_stress.json
BTCUSDT,bybit,5m,2025-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,fixed,False,0.51,stress,1361,29.537105069801616,0.4407307522389124,-354.08457653694535,645.9154234630546,35.41180169394977,-0.2601650084768151,145.3378631455101,198.18798925913285,0.0,800,561,-208.33730920497104,-145.7472673319743,242,767,0,352,0,FAIL,reports_json/btcusdt_slice_2025_fixed_conf051_stress.json
